x1,x2,x3,x4,x5,x6,x7,x8,Tot-Deformation-Max,Stress-Max,Life-Min,Mass,Volume
260,37.5,60,42.5,25,95,80,100,0.168592684,130.7353996,6.38E+06,1.114354407,1.42E+05
63.01,3.01,20.01,13.51,5,5,7,7,0.16067,124.19,1.75E+07,1.5354,1.96E+05
201.274,8.632,28.055,21.555,12.984,83.018,79.537,56.766,0.163490781,126.2939206,1.26E+07,1.403626785,1.79E+05
93.99,20.126,21.219,22.708,5.393,61.383,35.93,48.674,0.161792822,124.9785974,1.54E+07,1.471954376,1.88E+05
247.599,15.638,37.396,23.987,15.04,15.984,55.684,86.908,0.16443175,126.8558188,1.15E+07,1.366069692,1.74E+05
104.413,25.947,29.519,13.983,5.808,47.988,31.489,33.375,0.161328721,124.6881969,1.61E+07,1.471988725,1.88E+05
87.099,25.609,23.519,39.314,22.145,84.893,25.112,66.931,0.161981207,125.0451532,1.53E+07,1.427552983,1.82E+05
103.332,36.398,21.776,41.7,18.695,74.896,63.339,14.527,0.161231054,124.6808686,1.62E+07,1.422184093,1.81E+05
224.406,35.448,34.273,37.908,10.036,76.501,66.188,49.02,0.163524481,126.8031203,1.16E+07,1.299001152,1.65E+05
73.748,25.265,39.958,38.124,16.555,40.647,70.531,13.382,0.161219097,124.6822705,1.62E+07,1.46116105,1.86E+05
186.728,19.521,40.818,30.831,14.995,70.672,34.853,36.908,0.161640567,125.0135553,1.53E+07,1.417077163,1.81E+05
117.423,23.062,58.648,34.701,18.118,79.504,19.436,37.392,0.161251229,124.6774227,1.62E+07,1.423736107,1.81E+05
139.074,26.749,56.063,15.644,15.33,54.432,16.294,31.442,0.161126111,124.5754109,1.64E+07,1.442702838,1.84E+05
128.409,8.902,43.62,18.415,19.092,62.464,12.9,53.787,0.161277397,124.5185865,1.66E+07,1.484133675,1.89E+05
259.406,4.709,38.633,36.711,13.182,57.725,51.247,9.349,0.16095564,124.3885931,1.69E+07,1.483209654,1.89E+05
99.488,28.097,50.519,22.624,6.984,90.573,76.073,33.193,0.16214973,125.3413967,1.46E+07,1.420094716,1.81E+05
165.927,31.873,23.95,40.119,7.04,10.46,55.404,28.214,0.162303028,125.7912951,1.36E+07,1.345740308,1.71E+05
236.059,10.009,52.307,39.017,11.326,45.88,48.774,38.663,0.16192097,125.21087,1.49E+07,1.425725662,1.82E+05
153.127,5.14,44.614,17.152,20.403,78.24,58.957,34.882,0.161845811,124.275886,1.72E+07,1.446419478,1.84E+05
