alg,fid,dim,seed,f
ABMO,4,10,2026,876.0000000000001
ABMO,4,10,2027,870.0
ABMO,4,10,2028,906.0
ABMO,4,10,2029,830.0
ABMO,4,10,2030,860.0
ABMO,4,10,2031,876.0
ABMO,4,10,2032,862.0
ABMO,4,10,2033,844.0
ABMO,4,10,2034,892.0
ABMO,4,10,2035,904.5
ABMO,4,10,2036,874.0
ABMO,4,10,2037,908.0
ABMO,4,10,2038,900.0
ABMO,4,10,2039,902.0
ABMO,4,10,2040,994.5
ABMO,4,10,2041,838.0
ABMO,4,10,2042,852.0000000000206
ABMO,4,10,2043,886.0000000000463
ABMO,4,10,2044,886.0
ABMO,4,10,2045,886.0
ABMO,4,10,2046,850.0
ABMO,4,10,2047,828.5985140660695
ABMO,4,10,2048,868.0
ABMO,4,10,2049,932.0
ABMO,4,10,2050,890.0
ABMO,4,10,2051,858.0
ABMO,4,10,2052,948.0
ABMO,4,10,2053,840.0
ABMO,4,10,2054,872.0000000000001
ABMO,4,10,2055,860.0000000000005
ABMO,6,10,2026,4227.798566084848
ABMO,6,10,2027,35547.16429864828
ABMO,6,10,2028,37016.52438226076
ABMO,6,10,2029,24294.03031510482
ABMO,6,10,2030,11980.895271986832
ABMO,6,10,2031,30033.323154846228
ABMO,6,10,2032,18855.055066727266
ABMO,6,10,2033,11625.48828413174
ABMO,6,10,2034,13722.928733095703
ABMO,6,10,2035,37253.8931041519
ABMO,6,10,2036,21573.79211368921
ABMO,6,10,2037,25791.91486437912
ABMO,6,10,2038,60810.71453487376
ABMO,6,10,2039,3023.214638188097
ABMO,6,10,2040,23479.577225579706
ABMO,6,10,2041,6594.409500214705
ABMO,6,10,2042,37841.29447449324
ABMO,6,10,2043,21961.23722438855
ABMO,6,10,2044,16928.97658597367
ABMO,6,10,2045,19411.20304490527
ABMO,6,10,2046,8619.039986288917
ABMO,6,10,2047,39009.80365723316
ABMO,6,10,2048,37793.1667346418
ABMO,6,10,2049,2446.762349897625
ABMO,6,10,2050,4178.044778046578
ABMO,6,10,2051,31496.39288898958
ABMO,6,10,2052,19102.037249492103
ABMO,6,10,2053,27574.779868640668
ABMO,6,10,2054,38123.85934211509
ABMO,6,10,2055,53399.84875616124
ABMO,7,10,2026,2129.9744422941108
ABMO,7,10,2027,2036.9191179565787
ABMO,7,10,2028,2121.7027779441087
ABMO,7,10,2029,2020.9980941190688
ABMO,7,10,2030,2028.4596623454545
ABMO,7,10,2031,2021.008246739853
ABMO,7,10,2032,2130.078239246196
ABMO,7,10,2033,2142.7524290928377
ABMO,7,10,2034,2036.9172888328324
ABMO,7,10,2035,2032.934670068663
ABMO,7,10,2036,2028.9882424452285
ABMO,7,10,2037,2025.046957506005
ABMO,7,10,2038,2025.4744767507284
ABMO,7,10,2039,2128.4880780480007
ABMO,7,10,2040,2124.8740608208386
ABMO,7,10,2041,2021.529587048455
ABMO,7,10,2042,2122.8382655610085
ABMO,7,10,2043,2134.544335365796
ABMO,7,10,2044,2119.7908809358582
ABMO,7,10,2045,2123.5449877040323
ABMO,7,10,2046,2031.951357815621
ABMO,7,10,2047,2093.9412668781424
ABMO,7,10,2048,2027.9678665938509
ABMO,7,10,2049,2024.9751489511289
ABMO,7,10,2050,2023.52051071788
ABMO,7,10,2051,2023.9868232739689
ABMO,7,10,2052,2020.4517646075235
ABMO,7,10,2053,2092.6334383561507
ABMO,7,10,2054,2133.3775455093346
ABMO,7,10,2055,2123.255379252012
ABMO,12,10,2026,2867.952271745226
ABMO,12,10,2027,2949.2697470512007
ABMO,12,10,2028,2866.4229005601715
ABMO,12,10,2029,2868.844153453432
ABMO,12,10,2030,2946.045999241783
ABMO,12,10,2031,2872.5962265829417
ABMO,12,10,2032,2868.8632306853874
ABMO,12,10,2033,2878.155964900379
ABMO,12,10,2034,2866.479792446135
ABMO,12,10,2035,2866.8306894406346
ABMO,12,10,2036,2870.4750042562005
ABMO,12,10,2037,2871.2746527165496
ABMO,12,10,2038,2866.724202338427
ABMO,12,10,2039,2873.4053903608574
ABMO,12,10,2040,2868.832304869537
ABMO,12,10,2041,2871.581212572516
ABMO,12,10,2042,2868.442324033986
ABMO,12,10,2043,2900.731282554972
ABMO,12,10,2044,2870.9030311375623
ABMO,12,10,2045,2870.549469865051
ABMO,12,10,2046,2871.75949053037
ABMO,12,10,2047,2963.9031178446394
ABMO,12,10,2048,3155.1614659449924
ABMO,12,10,2049,2867.59540154534
ABMO,12,10,2050,2910.763829077935
ABMO,12,10,2051,2870.680250549265
ABMO,12,10,2052,2904.939893864259
ABMO,12,10,2053,2901.2364540187937
ABMO,12,10,2054,2867.0618114328354
ABMO,12,10,2055,2869.540661847101
RUN,4,10,2026,842.0497387844154
RUN,4,10,2027,834.0115848606016
RUN,4,10,2028,850.7035924269068
RUN,4,10,2029,830.1140041424588
RUN,4,10,2030,848.1646811906827
RUN,4,10,2031,830.002531811761
RUN,4,10,2032,856.0069659565295
RUN,4,10,2033,856.1551611595189
RUN,4,10,2034,822.0235112647744
RUN,4,10,2035,832.2660767473508
RUN,4,10,2036,854.0021533084781
RUN,4,10,2037,846.017451403716
RUN,4,10,2038,830.0000118371826
RUN,4,10,2039,852.0100022341671
RUN,4,10,2040,844.0055797165538
RUN,4,10,2041,824.0000040695032
